citrus_id,label,whole,exocarp,endocarp,rind,spine,mesocarp,oil_glands,num_glands
SW05_CRC3994_12A-25-9,L01,285031849,40231829,183623761,78138237,4362827,73775410,876017,13309
SW05_CRC3994_12A-25-9,L02,213920153,23941789,134439582,70146151,4098539,66047356,644005,10720
WR02_CRC3877_12B-44-13,L00,168177645,44189059,58529289,77265461,6395176,70692840,921366,9503
WR02_CRC3877_12B-44-13,L01,158112639,51586868,61703413,71888422,6607112,65279605,1784706,13587
WR02_CRC3877_12B-44-13,L02,128686903,42006521,48002794,53725755,5066376,48659379,642177,11417
WR03_CRC3163_12B-30-1,L00,151974716,39285543,59361492,75641388,28915610,46725507,642479,13294
WR03_CRC3163_12B-30-1,L01,92949780,21063174,49226507,25473591,6722102,18747675,430825,6170
WR03_CRC3163_12B-30-1,L02,74836462,17643698,39507554,23590640,4065472,19525165,609297,6697
WR04_CRC4008_12A-24-5,L00,179798165,27431570,128041328,39149499,5391284,33614738,504091,8271
WR04_CRC4008_12A-24-5,L01,154452387,36594529,103598966,47755228,6231729,41345103,463885,7386
WR04_CRC4008_12A-24-5,L02,114961441,20884769,86392351,35641919,3502428,31558918,337091,5259
WR05_CRC3605_18B-19-5,L00,62990227,16360808,38914199,12678319,950127,11688001,666042,10263
WR05_CRC3605_18B-19-5,L01,56229683,13535652,36084220,11993036,1255927,10671740,456543,7877
WR05_CRC3605_18B-19-5,L02,36606015,11512164,22151467,7882731,415632,7407272,297982,5809
WR05_CRC3605_18B-19-5,L03,30638950,8585583,19079279,5950941,340187,5595811,245476,4887
WR05_CRC3605_18B-19-5,L04,28008066,8601004,16643367,6023918,283406,5726423,209452,4219
WR05_CRC3605_18B-19-5,L05,23601971,6918984,13857721,7005546,440368,6541899,209281,4249
WR06_CRC2485_12B-29-9,L00,94986120,21615612,62928190,23176753,2504849,20670609,1529221,13296
WR06_CRC2485_12B-29-9,L01,82900197,21344203,52433940,19457939,2548422,16882250,1335916,11921
WR06_CRC2485_12B-29-9,L02,74639840,20326521,43785608,15901918,1453680,14431414,1411502,11502
WR06_CRC2485_12B-29-9,L03,52551060,14695117,31013419,10766199,697608,10058068,1123940,9682
WR07_CRC2327_18B-9-5,L00,634236605,207869013,137226697,380208331,88743953,246849957,8944175,25164
WR08_CRC3661_18B-16-5,L00,94727052,17460604,63805313,14302643,4414800,9887347,821492,8749
WR08_CRC3661_18B-16-5,L01,91442753,12722387,62055368,13882174,3141167,10443137,536311,10898
WR08_CRC3661_18B-16-5,L02,76702245,20217181,47492291,16118658,3445528,12219267,584939,9469
WR08_CRC3661_18B-16-5,L03,55856346,11226552,36375424,9203054,1765836,7364996,329249,7805
WR09_CRC3469_12B-36-9,L00,283281371,57132481,120985416,125284985,20061643,105206852,1057880,17408
WR09_CRC3469_12B-36-9,L01,225343464,52879466,99624399,88368839,10247389,78082505,899425,15190
WR09_CRC3469_12B-36-9,L02,171840330,36678184,76253467,73375353,12342586,61031712,835474,12244
WR10_CRC0838_12A-5-5,L00,106283303,17730755,86406400,16142413,904962,14438168,241536,4795
WR10_CRC0838_12A-5-5,L01,106459570,10709233,87393232,21504090,6664856,14839221,184004,3713
WR10_CRC0838_12A-5-5,L02,89457502,8551478,73848410,17918717,5970556,11948152,160294,3156
WR10_CRC0838_12A-5-5,L03,81952324,9808819,68127939,12699625,936837,11659841,116348,2546
WR11_CR3228_12B-30-9,L00,176435087,54959842,54973457,75210585,9480247,65730306,792608,13465
WR11_CR3228_12B-30-9,L01,132216873,40514523,53198168,48130361,7037561,41092765,557544,9992
WR11_CR3228_12B-30-9,L02,83564095,28031289,26444320,35942003,4865953,31075942,423073,7420
WR12_CRC1455_18B-17-6,L00,316641042,47890942,178864808,108964696,7699316,101265380,1092915,12173
WR12_CRC1455_18B-17-6,L01,360270899,66156726,153131955,160411916,11475891,148936025,1318618,15120
WR13_CRC3912_12B-41-11,L00,115964124,12318565,94624893,19074607,572121,18502146,291236,4362
WR13_CRC3912_12B-41-11,L01,111098041,12296815,89991816,18621992,322049,18299943,320094,4383
WR13_CRC3912_12B-41-11,L02,107526624,8480934,88563953,18932819,583081,18349732,137126,2698
WR14_CRC2320_18B-18-3,L00,156770236,27999819,94605364,46170859,7166928,39003931,765152,13989
WR14_CRC2320_18B-18-3,L01,145193165,31701049,88349552,35948526,5736461,30211708,871881,15110
WR14_CRC2320_18B-18-3,L02,143232309,29517076,91622190,32835952,5191491,27644427,693771,12482
WR14_CRC2320_18B-18-3,L03,109036112,21142492,76964019,19854131,1128930,18725201,491650,8949
WR15_CRC3140_18B-9-1,L00,171600867,38823171,76988081,83499563,24570729,58928834,366821,7863
WR15_CRC3140_18B-9-1,L01,156643235,39403064,62220668,80013608,16573596,63439962,381635,8491
WR15_CRC3140_18B-9-1,L02,144704062,30341802,52632813,84534556,17568308,66966248,379727,8310
WR16_CRC3771_12A-42-5,L00,191818844,54797641,83372047,67687503,8673404,59014055,852755,19386
WR16_CRC3771_12A-42-5,L01,182548953,50188552,83330129,62629798,3764771,58865012,758283,16956
WR16_CRC3771_12A-42-5,L02,174627512,46489065,82728832,58659267,8011328,50639748,671208,14749
WR16_CRC3771_12A-42-5,L03,164825313,36913029,78639224,63090894,9317666,53773228,640467,14091
WR17_CRC2454_18B-20-5,L00,113467201,29898682,61197307,31740480,1859221,29881259,1207080,12649
WR17_CRC2454_18B-20-5,L01,78447670,19645822,45868305,20111625,1937217,18174408,697123,8870
WR17_CRC2454_18B-20-5,L02,76880164,20742695,41626070,21556306,1496045,20060261,725669,8263
WR17_CRC2454_18B-20-5,L03,65991725,17210927,36238510,18699973,1442545,17257428,392280,6102
WR18_CRC2863_12A-39-9,L00,75866978,11957799,52020359,18819716,184182,18635534,129675,2680
WR18_CRC2863_12A-39-9,L01,70713907,12186846,46179660,18840236,82559,18757541,173831,3157
WR18_CRC2863_12A-39-9,L02,69235379,11280958,48265358,16448487,53102,16395385,176162,3209
WR18_CRC2863_12A-39-9,L03,67949515,14290386,38666479,21320784,291513,21029271,189828,3554
WR18_CRC2863_12A-39-9,L04,57688647,10565742,36449807,16293877,188888,16104989,182888,3264
WR19_CRC3842_18B-18-5,L00,320028168,54108993,225948377,64778404,12932857,51843632,569159,8271
WR19_CRC3842_18B-18-5,L01,294014570,52872378,198418369,66080754,15101700,50978879,523588,7982
WR19_CRC3842_18B-18-5,L02,276196526,39299479,182699535,76040800,9411245,66412241,629588,9021
